STATION_ID,STATION_LAT,STATION_LON,start_year,end_year,Irrigation Fraction,Irrigated,Irrigation,Crop Type,Corrected ETo bias ratio
Almond_High,36.169669,-120.201004,2017,2019,100.0,Irrigated,"high, > 75 %",Other,0.7489557112651098
Almond_Low,36.946608,-120.10237,2017,2019,100.0,Irrigated,"high, > 75 %",Other,0.8348702524563525
Almond_Med,36.177669,-120.202644999999,2017,2019,100.0,Irrigated,"high, > 75 %",Other,0.7342933860537699
BAR012,38.751,-122.975,2017,2020,100.0,Irrigated,"high, > 75 %",Other,0.8717233831718351
Ellendale,29.633321,-90.827662,2019,2019,0.0,Non-Irrigated,"low, < 25 %",Other,1.1657102031565945
RIP760,36.839,-120.21,2017,2020,100.0,Irrigated,"high, > 75 %",Other,0.7710751603408964
SLM001,38.289,-121.118,2013,2020,100.0,Irrigated,"high, > 75 %",Other,0.8468967518171655
US-AR1,36.4267,-99.42,2009,2011,0.0,Non-Irrigated,"low, < 25 %",Other,0.9293222196607697
US-Bi1,38.0991537999999,-121.49933,2017,2019,100.0,Irrigated,"high, > 75 %",Other,1.0311527530644196
US-Bi2,38.109,-121.535,2017,2020,100.0,Irrigated,"high, > 75 %",Corn,1.0356551349538259
US-Bkg,44.34529,-96.83617,2004,2009,0.0,Non-Irrigated,"low, < 25 %",Corn,0.7815435205726743
US-Bo1,40.0062,-88.2904,2001,2007,0.0,Non-Irrigated,"low, < 25 %",Corn,0.8649474785327783
US-Br1,41.9749,-93.6906,2005,2011,0.0,Non-Irrigated,"low, < 25 %",Corn,0.8326252740850065
US-Br3,41.97472,-93.69357,2005,2011,0.0,Non-Irrigated,"low, < 25 %",Corn,0.8543449889133924
US-Dk1,35.9712,-79.09338,2007,2007,0.0,Non-Irrigated,"low, < 25 %",Other,0.9335229621366068
US-KLS,38.7745,-97.5684,2017,2017,0.0,Non-Irrigated,"low, < 25 %",Other,1.026350487027315
US-Mj1,46.99475,-109.61375,2013,2013,2.52,Irrigated,"low, < 25 %",Alfalfa,0.9086898380597118
US-Mj2,46.9957,-109.6295,2014,2014,0.24,Irrigated,"low, < 25 %",Alfalfa,1.0765677905634357
US-OF1,35.737067,-90.0492,2017,2017,0.0,Non-Irrigated,"low, < 25 %",Other,0.9310998012811499
US-OF2,35.7406,-90.0489,2017,2017,0.0,Non-Irrigated,"low, < 25 %",Other,1.0286545439539023
US-OF4,35.734346,-90.037982,2018,2018,0.0,Non-Irrigated,"low, < 25 %",Cotton,0.9905560108497972
US-OF6,35.729972,-90.040333,2018,2018,0.0,Non-Irrigated,"low, < 25 %",Other,0.9664164998264134
US-Ro1,44.7143,-93.0898,2004,2016,0.0,Non-Irrigated,"low, < 25 %",Corn,0.9555580844494619
US-Ro2,44.7288,-93.0888,2015,2016,0.0,Non-Irrigated,"low, < 25 %",Corn,1.0378686054159816
US-Ro5,44.691,-93.0576,2017,2020,0.0,Non-Irrigated,"low, < 25 %",Corn,0.9869369843027054
US-Ro6,44.6946,-93.05776,2017,2020,0.0,Non-Irrigated,"low, < 25 %",Corn,1.0407229667598448
US-Tw2,38.1047,-121.6433,2012,2012,100.0,Irrigated,"high, > 75 %",Corn,0.9584878488624369
US-Tw3,38.1159,-121.6467,2013,2017,100.0,Irrigated,"high, > 75 %",Corn,1.0587524135033985
US-Twt,38.1087204,-121.6531,2009,2016,100.0,Irrigated,"high, > 75 %",Corn,0.9823547305980438
US-xSL,40.4619,-103.0293,2017,2017,0.0,Non-Irrigated,"low, < 25 %",Other,0.9323832637872085
