STATION_ID,summer_mean,STATION_LAT,STATION_LON,start_year,end_year
Almond_High,1.3229343916436789,36.169669,-120.201004,2017,2019
Almond_Low,1.3685642712630066,36.946608,-120.10237,2017,2019
Almond_Med,1.3535683621958512,36.177669,-120.202644999999,2017,2019
BAR012,1.5094979341834234,38.751,-122.975,2017,2020
Ellendale,1.0072888483953153,29.633321,-90.827662,2019,2019
RIP760,1.4658075718500516,36.839,-120.21,2017,2020
SLM001,1.3869451508577773,38.289,-121.118,2013,2020
US-AR1,1.103223606006703,36.4267,-99.42,2009,2011
US-Bi1,1.1303532972282784,38.0991537999999,-121.49933,2017,2019
US-Bi2,1.1218006586885356,38.109,-121.535,2017,2020
US-Bkg,1.4385742097004612,44.34529,-96.83617,2004,2009
US-Bo1,1.3247452900658279,40.0062,-88.2904,2001,2007
US-Br1,1.3669210490831811,41.9749,-93.6906,2005,2011
US-Br3,1.3414371090574222,41.97472,-93.69357,2005,2011
US-Dk1,1.246462463815129,35.9712,-79.09338,2007,2007
US-KLS,1.1123010628869134,38.7745,-97.5684,2017,2017
US-Mj1,1.1729694723286817,46.99475,-109.61375,2013,2013
US-Mj2,0.9795068857401145,46.9957,-109.6295,2014,2014
US-OF1,1.2276854245712092,35.7370669999999,-90.0492,2017,2017
US-OF2,1.1542144571688155,35.7406,-90.0489,2017,2017
US-OF4,1.161587311334883,35.734346,-90.037982,2018,2018
US-OF6,1.1443046547467508,35.729972,-90.0403329999999,2018,2018
US-Ro1,1.222922967490415,44.7143,-93.0898,2004,2016
US-Ro2,1.1259564306198757,44.7288,-93.0888,2015,2016
US-Ro5,1.1792934442512013,44.691,-93.0576,2017,2020
US-Ro6,1.1168957391704661,44.6946,-93.05776,2017,2020
US-Tw2,1.1493068761526812,38.1047,-121.6433,2012,2012
US-Tw3,1.0426134515217478,38.1159,-121.6467,2013,2017
US-Twt,1.120533119412247,38.1087203999999,-121.6531,2009,2016
US-xSL,1.064348738450666,40.4619,-103.0293,2017,2017
