STATION_ID,STATION_LAT,STATION_LON,start_year,end_year,Irrigation Fraction,Irrigated,Irrigation,Crop Type,Uncorrected ETo bias ratio
Almond_High,36.169669,-120.201004,2017,2019,100.0,Irrigated,"high, > 75 %",Other,0.7558953840163991
Almond_Low,36.946608,-120.10237,2017,2019,100.0,Irrigated,"high, > 75 %",Other,0.7306927566340237
Almond_Med,36.177669,-120.202644999999,2017,2019,100.0,Irrigated,"high, > 75 %",Other,0.738787953330803
BAR012,38.751,-122.975,2017,2020,100.0,Irrigated,"high, > 75 %",Other,0.6624719235147275
RIP760,36.839,-120.21,2017,2020,100.0,Irrigated,"high, > 75 %",Other,0.6822177884767384
SLM001,38.289,-121.118,2013,2020,100.0,Irrigated,"high, > 75 %",Other,0.7210090459464348
US-Bi1,38.0991537999999,-121.49933,2017,2019,100.0,Irrigated,"high, > 75 %",Other,0.884679155138561
US-Bi2,38.109,-121.535,2017,2020,100.0,Irrigated,"high, > 75 %",Corn,0.8914239729267682
US-Mj1,46.99475,-109.61375,2013,2013,2.52,Irrigated,"low, < 25 %",Alfalfa,0.8525371065409848
US-Mj2,46.9957,-109.6295,2014,2014,0.24,Irrigated,"low, < 25 %",Alfalfa,1.0209218685016195
US-Tw2,38.1047,-121.6433,2012,2012,100.0,Irrigated,"high, > 75 %",Corn,0.8700896346739978
US-Tw3,38.1159,-121.6467,2013,2017,100.0,Irrigated,"high, > 75 %",Corn,0.959128235436104
US-Twt,38.1087204,-121.6531,2009,2016,100.0,Irrigated,"high, > 75 %",Corn,0.8924323455290012
