SITE_ID,Latitude,Longitude,corr_uncorr_type_corr,r2_corr,MAE_corr,MBE_corr,corr_uncorr_type_uncorr,r2_uncorr,MAE_uncorr,MBE_uncorr,r2_diff,MAE_diff,MBE_diff
US-Ro5,44.691,-93.0576,Corrected,0.9518560146291216,0.3605728455261379,0.2807441024692826,Uncorrected,0.933360106880602,0.4312573903714849,-0.311066361979871,0.018495907748519613,-0.07068454484534703,0.5918104644491535
US-Ro2,44.7288,-93.0888,Corrected,0.9478373397244751,0.4399842090070037,0.3834280310639689,Uncorrected,0.9303947541537176,0.3814303025203597,-0.2648801034885422,0.017442585570757507,0.05855390648664399,0.648308134552511
US-Ro3,44.7217,-93.0893,Corrected,0.9533821164969376,0.4852845484553846,0.4158097083290255,Uncorrected,0.9341174425782842,0.4146806761432006,-0.1467525150568557,0.019264673918653386,0.07060387231218401,0.5625622233858811
RIP760,36.839,-120.21,Corrected,0.8990005145155062,1.2530204197753354,-1.247371217664179,Uncorrected,0.8906495079861095,1.924122203594675,-1.924122203594675,0.008351006529396687,-0.6711017838193396,0.6767509859304961
US-Bi1,38.0991537999999,-121.49933,Corrected,0.9491741332671292,0.3860463814926745,0.1081740519831396,Uncorrected,0.9354953809670268,0.6065104768385868,-0.4299327571378852,0.013678752300102404,-0.22046409534591233,0.5381068091210248
US-Br3,41.97472,-93.69357,Corrected,0.821584549367862,0.7068883660967883,-0.5911820542960303,Uncorrected,0.8051281407435945,1.231854762463573,-1.215583402954186,0.01645640862426745,-0.5249663963667847,0.6244013486581558
US-Twt,38.1087203999999,-121.6531,Corrected,0.8613778665966756,0.6264700477953092,-0.0117735990693873,Uncorrected,0.8441335272079483,0.7729118661499804,-0.3043571595930756,0.01724433938872727,-0.14644181835467118,0.2925835605236883
US-Br1,41.9749,-93.6906,Corrected,0.8217824641332883,0.7291037188075046,-0.6279563869213081,Uncorrected,0.811936838262204,1.258158109418659,-1.248473867319163,0.009845625871084285,-0.5290543906111543,0.620517480397855
US-Ro1,44.7143,-93.0898,Corrected,0.8727451802719937,0.492510536934917,0.192315190266462,Uncorrected,0.8326008688929233,0.6277877301539847,-0.4698708100699204,0.040144311379070374,-0.13527719321906773,0.6621860003363824
US-Tw3,38.1159,-121.6467,Corrected,0.926445416851842,0.5008247221135155,0.1098799975699995,Uncorrected,0.9250377011148304,0.5055850758449684,-0.2062896524234978,0.0014077157370115945,-0.004760353731452893,0.3161696499934973
US-Dk1,35.9712,-79.09338,Corrected,0.9103557231671012,0.3724142269032265,-0.0308891453234874,Uncorrected,0.8828631410782349,0.8819639566686104,-0.8105191086889556,0.02749258208886629,-0.5095497297653839,0.7796299633654682
US-Tw2,38.1047,-121.6433,Corrected,0.8154749517237571,0.8163368679604964,0.1099623317745693,Uncorrected,0.7855893851518494,0.9706966874143,-0.2089875315400592,0.029885566571907662,-0.15435981945380362,0.3189498633146285
Almond_Low,36.946608,-120.10237,Corrected,0.9174685414922372,0.775589115415435,-0.7337731584819054,Uncorrected,0.9122334423054436,1.402293940200778,-1.3914250749593209,0.005235099186793657,-0.626704824785343,0.6576519164774155
US-Bkg,44.34529,-96.83617,Corrected,0.8017935548892806,0.88089963725091,-0.8133675269772589,Uncorrected,0.7820799950299568,1.316402258349393,-1.302908295219851,0.01971355985932377,-0.43550262109848303,0.4895407682425921
US-Bi2,38.109,-121.535,Corrected,0.91219476919456,0.5135108021080267,0.286188770996712,Uncorrected,0.8799277445723935,0.6587126678657251,-0.2893413266549623,0.03226702462216646,-0.14520186575769845,0.5755300976516744
BAR012,38.751,-122.975,Corrected,0.8236858432726677,0.702753772701211,-0.4637707305937359,Uncorrected,0.7989341144222577,1.8522238615041269,-1.8431347814335264,0.024751728850409993,-1.149470088802916,1.3793640508397904
US-OF6,35.729972,-90.0403329999999,Corrected,0.7523456434330313,0.3122472370773804,0.2862188480727292,Uncorrected,0.4331855117260356,0.3219141298707279,-0.3071644260056399,0.31916013170699575,-0.009666892793347537,0.5933832740783691
SLM001,38.289,-121.118,Corrected,0.8983466367255557,0.6934713149886947,-0.6264722612509536,Uncorrected,0.8886415067378539,1.3408277278747736,-1.314838827708014,0.009705129987701788,-0.6473564128860788,0.6883665664570605
US-AR1,36.4267,-99.42,Corrected,0.9394720690635948,0.7055103543736159,-0.585122645815322,Uncorrected,0.9379353396964376,0.7771593948539143,-0.6590157370865172,0.001536729367157208,-0.07164904048029841,0.07389309127119514
Ellendale,29.633321,-90.827662,Corrected,0.802465349484689,1.438784613175903,1.438784613175903,Uncorrected,0.7902225292210677,0.8725317155123544,0.7507431553237893,0.012242820263621224,0.5662528976635486,0.6880414578521137
US-Mj2,46.9957,-109.6295,Corrected,0.7529561481982722,0.7718287522141346,0.033191087968193,Uncorrected,0.7268585047134414,0.6256858548093128,-0.2662714291343664,0.02609764348483079,0.14614289740482178,0.2994625171025594
