SITE_ID,version,corr_uncorr_type_corr,flux_calc,openet_model,r2_corr,MAE_corr,MBE_corr,Latitude,Longitude,corr_uncorr_type_uncorr,r2_uncorr,MAE_uncorr,MBE_uncorr,r2_diff,MAE_diff,MBE_diff
Almond_High,v3,corr,Closed,SSEBOP,0.8945160483608839,21.12865669453254,-16.533801245690444,36.169669,-120.201004,uncorr,0.8942956746325469,20.180060250241983,-11.439543723716367,0.00022037372833705327,0.9485964442905583,-5.094257521974077
Almond_Low,v3,corr,Closed,SSEBOP,0.8858142574803184,27.6300375762314,15.525650590062243,36.946608,-120.10237,uncorr,0.878243580480686,25.00269412053813,-2.7477461195773616,0.007570676999632431,2.6273434556932678,18.273396709639606
Almond_Med,v3,corr,Closed,SSEBOP,0.9363744846904004,17.43144661355021,-12.434454700088065,36.177669,-120.202644999999,uncorr,0.934031798536961,16.50415119214361,-7.07524822321444,0.002342686153439355,0.9272954214066012,-5.3592064768736245
BAR012,v3,corr,Closed,SSEBOP,0.804583861166565,24.163546942049884,-23.298744616411163,38.751,-122.975,uncorr,0.7431249395511036,55.76210691990192,-55.76210691990192,0.061458921615461404,-31.598559977852034,32.463362303490754
Ellendale,v3,corr,Closed,SSEBOP,0.6792887258458311,31.088973029449537,29.614546060174433,29.633321,-90.827662,uncorr,0.6613077773037852,24.49017429477176,18.46586165914257,0.017980948542045905,6.5987987346777786,11.148684401031865
RIP760,v3,corr,Closed,SSEBOP,0.6669875941536682,41.484242435518254,-41.484242435518254,36.839,-120.21,uncorr,0.6650680779121343,66.11264774602472,-66.11264774602472,0.0019195162415338585,-24.628405310506466,24.628405310506466
US-Bi1,v3,corr,Closed,SSEBOP,0.907814268254591,20.963983920742272,18.290438862277707,38.0991537999999,-121.49933,uncorr,0.9023088062281032,18.266397558316733,9.42210748304145,0.0055054620264878285,2.6975863624255396,8.868331379236256
US-Bo1,v3,corr,Closed,SSEBOP,0.9230698339928516,15.77788934236288,14.245711284674972,40.0062,-88.2904,uncorr,0.9072055449604208,18.14349309575865,6.988330844022098,0.015864289032430756,-2.365603753395771,7.257380440652874
US-Br1,v3,corr,Closed,SSEBOP,0.7957581604126076,27.527217450009537,22.958876878062934,41.9749,-93.6906,uncorr,0.7718850972052427,28.43847717828202,15.032393843325618,0.02387306320736493,-0.9112597282724835,7.926483034737316
US-Br3,v3,corr,Closed,SSEBOP,0.7899432926702423,26.88193192295993,23.215237532299284,41.97472,-93.69357,uncorr,0.7719848705427499,27.60034350633328,15.18949985770266,0.017958422127492435,-0.7184115833733529,8.025737674596623
US-Bi2,v3,corr,Closed,SSEBOP,0.8622499052810529,25.50101097573752,22.054919122673777,38.109,-121.535,uncorr,0.8501505994333959,23.80534504200526,13.99950861920906,0.01209930584765706,1.6956659337322577,8.055410503464717
US-KLS,v3,corr,Closed,SSEBOP,0.5940794997976115,23.554214293610805,-8.435274353555306,38.7745,-97.5684,uncorr,0.5805827557393488,26.74755493019984,-16.568415924591154,0.013496744058262733,-3.193340636589035,8.133141571035848
US-OF1,v3,corr,Closed,SSEBOP,0.9982605106205986,18.47888147049036,18.47888147049036,35.7370669999999,-90.0492,uncorr,0.9040096945379188,8.905966269556131,-2.923093922749994,0.09425081608267982,9.57291520093423,21.401975393240356
US-Ro1,v3,corr,Closed,SSEBOP,0.8166530447920556,22.755554333556013,13.87954443111654,44.7143,-93.0898,uncorr,0.7750621215884478,22.488303942202784,3.262989066709699,0.0415909232036078,0.2672503913532296,10.616555364406842
US-Ro5,v3,corr,Closed,SSEBOP,0.9328108548170204,21.68379785311241,21.68379785311241,44.691,-93.0576,uncorr,0.9180824822656142,14.664001497332222,13.393468740122648,0.014728372551406244,7.019796355780187,8.290329112989761
US-Ro6,v3,corr,Closed,SSEBOP,0.826612348178578,19.29793846913281,16.838701111655332,44.6946,-93.05776,uncorr,0.7938230503680643,16.957526168239777,8.664088900601154,0.03278929781051365,2.340412300893032,8.174612211054178
US-Tw3,v3,corr,Closed,SSEBOP,0.8983260880336661,19.75336007813149,10.335891011834688,38.1159,-121.6467,uncorr,0.8829217497917666,21.3931881247799,5.3102477469687495,0.015404338241899462,-1.639828046648411,5.025643264865939
